County Name,Distrib Cutoffs,SumDosesRecd,Product Name,Public Health Region (PHR),Latitude (generated),Longitude (generated)
Zavala,0,0,Moderna,8,28.8648,-99.7623
Zapata,"1-5,000",100,Moderna,11,26.9454,-99.1717
Young,"1-5,000",700,Moderna,2/3,33.1668,-98.6883
Yoakum,0,0,Moderna,1,33.1614,-102.828
Wood,"1-5,000",500,Moderna,4/5N,32.7755,-95.3972
Wise,"1-5,000",1075,*,2/3,33.2115,-97.6555
Winkler,0,0,,9/10,31.8614,-103.0627
Wilson,"1-5,000",1400,Moderna,8,29.1652,-98.0851
Williamson,"5,001-10,000",9350,*,7,30.6541,-97.6352
Willacy,0,0,Moderna,11,26.4556,-97.7389
Wilbarger,"1-5,000",700,Moderna,2/3,34.1523,-99.2142
Wichita,"5,001-10,000",5925,*,2/3,33.9973,-98.6882
Wheeler,"1-5,000",100,Moderna,1,35.4067,-100.2697
Wharton,"1-5,000",200,Moderna,6/5S,29.299,-96.221
Webb,"10,001-50,000",12900,*,11,27.7332,-99.288
Washington,"1-5,000",400,Moderna,7,30.2215,-96.4299
Ward,"1-5,000",100,Moderna,9/10,31.4598,-103.1287
Waller,"1-5,000",800,Moderna,6/5S,29.9884,-95.9999
Walker,"1-5,000",1400,Moderna,6/5S,30.795,-95.5934
Victoria,"1-5,000",2375,*,8,28.7954,-96.9415
Van Zandt,"1-5,000",900,Moderna,4/5N,32.6033,-95.8351
Val Verde,"1-5,000",600,Moderna,8,29.7645,-101.0491
Uvalde,"1-5,000",600,Moderna,8,29.3551,-99.7622
Upton,"1-5,000",100,Moderna,9/10,31.369,-102.0443
Upshur,0,0,Moderna,4/5N,32.7068,-94.9274
Tyler,0,0,Moderna,4/5N,30.7932,-94.3877
Trinity,"1-5,000",400,Moderna,4/5N,31.1046,-95.1246
Travis,"10,001-50,000",40325,*,7,30.3252,-97.7773
Tom Green,"5,001-10,000",6025,*,9/10,31.3893,-100.4023
Titus,"1-5,000",800,Moderna,4/5N,33.19,-94.9689
Throckmorton,0,0,Moderna,2/3,33.1541,-99.2122
Terry,"1-5,000",300,Moderna,1,33.1754,-102.3353
Terrell,0,0,,9/10,30.2125,-102.1628
Taylor,"1-5,000",4425,*,2/3,32.3045,-99.8901
Tarrant,">50,000",59875,*,2/3,32.7708,-97.2917
Swisher,0,0,Moderna,1,34.535,-101.7351
Sutton,0,0,,9/10,30.4919,-100.5386
Stonewall,"1-5,000",100,Moderna,2/3,33.1802,-100.2535
Sterling,0,0,,9/10,31.8222,-101.0451
Stephens,0,0,Moderna,2/3,32.7377,-98.836
Starr,"1-5,000",1100,Moderna,11,26.5105,-98.7859
Somervell,0,0,,2/3,32.2014,-97.7856
Smith,"10,001-50,000",10550,*,4/5N,32.4125,-95.2456
Sherman,0,0,,1,36.2705,-101.8934
Shelby,"1-5,000",500,Moderna,4/5N,31.7749,-94.127
Shackelford,0,0,,2/3,32.7367,-99.354
Scurry,"1-5,000",400,Moderna,2/3,32.7541,-100.9166
Schleicher,0,0,Moderna,9/10,30.9013,-100.539
San Saba,0,0,Moderna,7,31.2064,-98.8303
San Patricio,"1-5,000",200,Moderna,11,27.9997,-97.5016
San Jacinto,"1-5,000",200,Moderna,4/5N,30.6136,-95.1783
San Augustine,"1-5,000",300,Moderna,4/5N,31.377,-94.1756
Sabine,"1-5,000",600,Moderna,4/5N,31.3731,-93.8461
Rusk,"1-5,000",200,Moderna,4/5N,32.1261,-94.7873
Runnels,"1-5,000",400,Moderna,2/3,31.839,-99.9766
Rockwall,"1-5,000",600,Moderna,2/3,32.8972,-96.4077
Robertson,"1-5,000",200,Moderna,7,31.0267,-96.5129
Roberts,0,0,,1,35.8244,-100.8135
Refugio,"1-5,000",300,Moderna,11,28.3093,-97.1471
Reeves,"1-5,000",100,Moderna,9/10,31.3853,-103.6537
Red River,0,0,,4/5N,33.6418,-95.0283
Real,0,0,,8,29.853,-99.8126
Reagan,0,0,Moderna,9/10,31.3693,-101.523
Randall,"1-5,000",1300,Moderna,1,34.9643,-101.8967
Rains,"1-5,000",100,Moderna,4/5N,32.8458,-95.8013
Presidio,0,0,Moderna,9/10,29.9461,-104.2391
Potter,"10,001-50,000",11425,*,1,35.3994,-101.8943
Polk,"1-5,000",1200,Moderna,4/5N,30.8186,-94.897
Pecos,"1-5,000",600,Moderna,9/10,30.7143,-102.6595
Parmer,"1-5,000",100,Moderna,1,34.5279,-102.7843
Parker,"1-5,000",2000,Moderna,2/3,32.7816,-97.8046
Panola,"1-5,000",500,Moderna,4/5N,32.1837,-94.3114
Palo Pinto,0,0,Moderna,2/3,32.7706,-98.3186
Orange,"1-5,000",200,Moderna,6/5S,30.1075,-93.8955
Oldham,0,0,,1,35.4003,-102.6039
Ochiltree,"1-5,000",200,Moderna,1,36.2819,-100.8158
Nueces,"10,001-50,000",13625,*,11,27.7778,-97.6629
Nolan,"1-5,000",100,Moderna,2/3,32.3092,-100.4063
Newton,"1-5,000",100,Moderna,4/5N,30.7161,-93.745
Navarro,"1-5,000",300,Moderna,2/3,32.0628,-96.4755
Nacogdoches,"1-5,000",2400,Moderna,4/5N,31.5347,-94.5952
Motley,0,0,,1,34.0728,-100.7798
Morris,"1-5,000",100,Moderna,4/5N,33.1234,-94.7341
Moore,"1-5,000",200,Moderna,1,35.8374,-101.8929
