"","Provider_Name","Address","County","City","Doses_W1","Doses_W2","Doses_W3","Doses_W4","Doses_W5","Doses_W6","Doses_W7","Doses_W8","lon","lat","Sum"
"1","15RX Pharmacy-2","11212 State Hwy 151, Plaza-2","BEXAR","San Antonio",NA,NA,NA,100,NA,NA,NA,NA,-98.6969457,29.4668423,100
"2","23330 Emergency Center, LLC","23330 US 59 North","HARRIS","Kingwood",NA,NA,100,NA,NA,NA,NA,NA,-95.2499181,30.0545024,100
"3","38th Street Pharmacy","711 WEST 38TH STREET C-3","TRAVIS","Austin",NA,200,NA,NA,NA,NA,NA,NA,-97.7400111,30.3035448,200
"4","A&P Pharmacy DBA Roanoke Pharmacy","207 E Byron Nelson Blvd","DENTON","Roanoke",NA,NA,NA,100,NA,NA,NA,NA,-97.2246272,33.0039708,100
"5","A+ Life Style Medical Group","815 Hwy 71 W","BASTROP","Bastrop",NA,NA,NA,NA,100,1000,1000,1000,-97.3785263,30.1100401,3100
"6","Abilene Diagnostic Clinic - Abilene - Antilley","1665 Antilley Road","TAYLOR","Abilene",NA,400,NA,NA,NA,NA,NA,NA,-99.743997,32.3720642,400
"7","Abilene Regional Medical Center","6250 Hwy 83/84 At Antilley Rd","TAYLOR","Abilene",NA,NA,NA,NA,100,NA,NA,NA,-99.744019,32.3746583,100
"8","ABULATORY STRATEGIES PHYSICIAN GROUP","4046 Dowlen Road","JEFFERSON","Beaumont",NA,500,NA,NA,NA,NA,NA,NA,-94.1667914,30.1182902,500
"9","Accelhealth Stephenville","135 River North Blvd","ERATH","Stephenville",NA,NA,NA,NA,100,NA,NA,NA,-98.23168,32.2275781,100
"10","Access Health Clinic","6402 Louetta Rd Ste 140","HARRIS","Spring",NA,500,NA,NA,NA,NA,NA,NA,-95.5129356,30.0279219,500
"11","Acres Home Health Center","818 Ringold St","HARRIS","Houston",NA,100,NA,NA,NA,NA,NA,300,-95.4191148,29.8758536,400
"12","AD Hospital East, LLC","12950 East Frwy","HARRIS","Houston",NA,NA,500,NA,100,NA,NA,NA,-95.2004437,29.7705393,600
"13","Adoue Community Health Network","1111 West Adoue","BRAZORIA","Alvin",NA,100,NA,NA,NA,NA,NA,NA,-95.2551202,29.4196128,100
"14","Advanced Pain Care","2000 S Mays Street","WILLIAMSON","Round Rock",NA,200,NA,NA,NA,NA,NA,NA,-97.6759645,30.491184,200
"15","Ahf Pharmacy","7777 Forest Lane.","DALLAS","Dallas",NA,NA,NA,100,NA,NA,NA,NA,-96.7744115,32.9126714,100
"16","AIRLINE DOCTORS FAMILY AND PEDIATRIC CLINICS","5990 airline drive","HARRIS","Houston",NA,NA,NA,100,NA,NA,NA,NA,-95.3838943,29.8527308,100
"17","Albertsons Pharmacy","2200 N Yarbrough","EL PASO","El Paso",NA,NA,NA,200,NA,NA,NA,NA,-106.3377332,31.7729727,200
"18","Albertsons Pharmacy 0716","200 West Crawford Street","GRAYSON","Denison",NA,NA,NA,100,NA,NA,NA,NA,-96.5378122,33.7520965,100
"19","Albertsons Pharmacy 4133","427 E FM 1382","DALLAS","Cedar Hill",NA,100,NA,NA,NA,NA,NA,NA,-96.9355322,32.5929546,100
"20","Albertsons Pharmacy 671","3317 N Midland Dr","MIDLAND","Midland",NA,NA,NA,100,NA,NA,NA,NA,-102.1433146,32.0163653,100
"21","Albertsons Pharmacy 674","4706 N Midkiff Road","MIDLAND","Midland",NA,NA,NA,100,NA,NA,NA,NA,-102.128257,32.0355578,100
"22","Albertsons Pharmacy 676","2751 N County Rd W","ECTOR","Odessa",NA,NA,NA,100,NA,NA,NA,NA,-102.3981221,31.8658831,100
"23","Albertsons Pharmacy 677","1350 E 8th St","ECTOR","Odessa",NA,NA,NA,200,NA,NA,NA,NA,-102.3558792,31.8577852,200
"24","Albertsons Pharmacy 678","3121 Sunset Dr","TOM GREEN","San Angelo",NA,NA,NA,100,NA,NA,NA,NA,-100.4808453,31.4215809,100
"25","Aldine Health Center","4755 Aldine Mail Route Rd","HARRIS","Houston",NA,NA,NA,NA,100,NA,NA,NA,-95.3209855,29.9032081,100
"26","Aledo Family Medicine","317 FM 1187 North","PARKER","Aledo",NA,500,NA,NA,NA,NA,NA,NA,-97.6024498,32.6927206,500
"27","Allen Fire Department","310 Century Pkwy","COLLIN","Allen",NA,200,NA,300,NA,2000,2000,7800,-96.6752143,33.0991682,12300
"28","Allison Cancer Center","400 Rosalind Grover Pkwy","MIDLAND","Midland",NA,NA,NA,100,NA,NA,NA,NA,-102.0996081,31.9967021,100
"29","Altus Baytown Hospital","14120 FM 2100","HARRIS","Crosby",NA,500,NA,NA,NA,NA,NA,NA,-95.0625526,29.8921007,500
"30","Altus Baytown Hospital","6501 Garth Rd","HARRIS","Baytown",NA,400,NA,NA,NA,NA,NA,NA,-94.9811716,29.7963606,400
"31","Altus Baytown Hospital - Kingwood","1120 Kingwood Dr","HARRIS","Kingwood",NA,NA,200,NA,NA,NA,NA,NA,-95.2389443,30.0488624,200
"32","Altus Baytown Hospital - Porter","22678 Hwy. 59","MONTGOMERY","Porter",NA,NA,200,NA,NA,NA,NA,NA,-95.2331523,30.1188451,200
"33","Altus Houston Hospital","7215 Fairmont Pkwy","HARRIS","Pasadena",NA,500,NA,NA,NA,NA,NA,NA,-95.127938,29.651267,500
"34","Alvin R Gebert, MD, PA","6130 W Parker Rd","COLLIN","Plano",NA,100,NA,NA,NA,NA,NA,NA,-96.8372246,33.0443397,100
"35","Amarillo Medical Specialists Llp","1215 S Coulter St Ste 400","POTTER","Amarillo",NA,300,NA,NA,NA,NA,NA,NA,-101.9212431,35.2017103,300
"36","Amarillo Public Health Department","1000 Martin Rd","POTTER","Amarillo",NA,NA,NA,NA,5000,NA,NA,NA,-101.8113832,35.2246226,5000
"37","America's ER Site 001, LLC","32784 FM 2978 RD","MONTGOMERY","Magnolia",NA,400,NA,NA,NA,NA,NA,NA,-95.5674298,30.2156404,400
"38","Americas ER Site 002 LLC","13902 Spring Cypress Rd","HARRIS","Cypress",NA,100,NA,NA,NA,NA,NA,NA,-95.6357319,30.004953,100
"39","Amigos Pharmacy 503","112 North University Avenue","LUBBOCK","Lubbock",NA,NA,NA,100,NA,NA,NA,NA,-101.8689457,33.5991367,100
"40","Amigos Pharmacy 508","2403 N Columbia St","HALE","Plainview",NA,NA,NA,100,NA,NA,NA,NA,-101.7076622,34.2015117,100
"41","Amigos Pharmacy 524","3300 I-40 East","POTTER","Amarillo",NA,NA,NA,100,NA,NA,NA,NA,-101.798366,35.1921382,100
"42","Amistad Community Health Center","1533 S Brownlee Blvd Ste 100","NUECES","Corpus Christi",NA,1300,NA,200,NA,NA,NA,200,-97.4049663,27.7750448,1700
"43","Angleton Primary Care","2020 East Mulberry St","BRAZORIA","Angleton",NA,NA,NA,NA,NA,100,NA,NA,-95.4092746,29.1821696,100
"44","Annie & Chau, LP","10603 Bellaire Blvd","HARRIS","Houston",NA,500,NA,NA,NA,NA,NA,NA,-95.5680452,29.7031778,500
"45","Argenal Pediatrics And Family Care","516 N Shary Rd","HIDALGO","Mission",NA,NA,NA,100,NA,NA,NA,NA,-98.2858574,26.2065749,100
"46","Arise Austin Medical Center","3003 Bee Cave Road","TRAVIS","Austin",NA,NA,200,NA,NA,NA,NA,NA,-97.795855,30.270872,200
"47","Arlington Fire Department","620 W Division St.","TARRANT","Arlington",NA,3000,NA,500,NA,5000,7000,7000,-97.1134788,32.7384429,22500
"48","Arthur S Hernandez Md","88 Briggs St","BEXAR","San Antonio",NA,NA,NA,100,NA,NA,NA,NA,-98.5491414,29.3546265,100
"49","Ascension Medical Group Georgetown","3721 Williams Drive","WILLIAMSON","Georgetown",NA,NA,NA,100,NA,NA,NA,NA,-97.6978455,30.6710366,100
"50","Ascension Medical Group Seton Primary Care","15808 Ranch Road 620 N","WILLIAMSON","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.7314434,30.487724,100
"51","Ascension Providence Hospital","6901 Medical Pkwy","MCLENNAN","Waco",NA,NA,NA,NA,1500,NA,NA,NA,-97.1985596,31.5135807,1500
"52","Ascension Seton Bastrop","630 W. Sh 71","TRAVIS","Bastrop",NA,NA,100,NA,NA,NA,NA,NA,-97.2809393,30.101577,100
"53","Ascension Seton Health Center Buda","5235 Overpass Rd","HAYS","Buda",NA,NA,NA,NA,100,NA,NA,NA,-97.8195613,30.0781156,100
"54","Ascension Seton HIghland Lakes","3201 S. Water Street","BURNET","Burnet",NA,200,100,NA,100,NA,NA,NA,-98.2367648,30.7330977,400
"55","Ascension Seton Highland Lakes Burnet Clinic","200 John W Hoover Pkwy","BURNET","Burnet",NA,NA,NA,100,NA,NA,NA,NA,-98.2352752,30.7330913,100
"56","Ascension Seton Northwest","11113 Research Blvd","TRAVIS","Austin",NA,700,NA,NA,NA,NA,NA,NA,-97.7438081,30.4053779,700
"57","Ascension Seton Southwest","7900 FM 1826","TRAVIS","Austin",NA,200,NA,NA,NA,NA,NA,NA,-97.8915626,30.2269045,200
"58","Ashley Pediatrics Day And Night Clinic","17927 Washington Palm Dr","HIDALGO","Penitas",NA,NA,NA,100,NA,NA,NA,NA,-98.4444494,26.3345995,100
"59","Ashley Pediatrics Day And Night Clinic La Joya","328 A E. Expressway 83","HIDALGO","La Joya",NA,NA,NA,100,NA,NA,NA,NA,-98.476294,26.2472949,100
"60","ASPG dba CHRISTUS Promptu Urgent Care","11823 Culebra Rd","BEXAR","San Antonio",NA,1000,NA,NA,NA,NA,NA,NA,-98.7259083,29.5027806,1000
"61","ASPG dba CHRISTUS Promptu Urgent Care - New Braunfels","1659 W State Highway 46","COMAL","New Braunfels",NA,2000,NA,NA,NA,NA,NA,NA,-98.160658,29.7131574,2000
"62","Atascosa Health Center Inc.","310 W Oaklawn Rd","ATASCOSA","Pleasanton",NA,NA,NA,NA,NA,100,NA,NA,-98.487001,28.957644,100
"63","Atkins Express Pharmacy","2607 Hwy 281 N","BURNET","Marble Falls",NA,NA,NA,100,NA,NA,NA,NA,-98.26991,30.5973094,100
"64","ATKINS PHARMACY SERVICES, INC.","701 THIRD ST","BURNET","Marble Falls",NA,200,NA,NA,NA,NA,NA,NA,-98.2751257,30.5714439,200
"65","Aubrey Pharmacy","701 S Highway 377","DENTON","Aubrey",NA,100,NA,100,NA,NA,NA,NA,-96.9829124,33.2983609,200
"66","Aurora Concepts, PLLC","233 Hurst Street","SHELBY","Center",NA,100,NA,100,NA,NA,NA,NA,-94.187798,31.7916521,200
"67","AUSTIN EAR NOSE AND THROAT CLINIC","3705 Medical Pkwy","TRAVIS","Austin",NA,500,NA,NA,NA,NA,NA,NA,-97.7440893,30.3049563,500
"68","AUSTIN EAR NOSE AND THROAT CLINIC","4315 JAMES CASEY","TRAVIS","Austin",NA,500,NA,NA,NA,NA,NA,NA,-97.77446,30.2236093,500
"69","Austin Family Allergy & Asthma, PA","10801-2 N. Mopac Expwy","TRAVIS","Austin",NA,100,NA,NA,NA,NA,NA,NA,-97.7301281,30.3976743,100
"70","Austin Public Health","15 Waller Street","TRAVIS","Austin",NA,1000,NA,NA,12000,12000,12000,12000,-97.7338621,30.2531196,49000
"71","Austin Public Safety Wellness Center","517 S Pleasant Valley Rd","TRAVIS","Austin",NA,1300,NA,200,NA,NA,NA,NA,-97.7139154,30.2460108,1500
"72","Austin Radiological Association","12554 Riata Vista Circle","TRAVIS","Austin",NA,500,NA,NA,NA,NA,NA,NA,-97.738412,30.430931,500
"73","Austin Regional Clinic-Buda","3420 Fm 967 Ste B100","HAYS","Buda",NA,800,NA,NA,NA,NA,NA,300,-97.8781126,30.0969989,1100
"74","Austin Regional Clinic - Anderson Mill","10401 Anderson Mill Rd Ste 110b","TRAVIS","Austin",NA,500,NA,NA,NA,NA,NA,NA,-97.8058657,30.4464845,500
"75","Austin Regional Clinic - Bee Cave","15801 W Highway 71 Bldg 1","TRAVIS","Bee Cave",NA,500,NA,NA,NA,NA,NA,NA,-97.9888445,30.3171565,500
"76","Austin Regional Clinic - Cedar Park","801 E Whitestone Blvd Ste C","WILLIAMSON","Cedar Park",NA,500,NA,NA,NA,NA,NA,NA,-97.8220273,30.5244256,500
"77","Austin Regional Clinic - Far West","6835 Austin Center Blvd","TRAVIS","Austin",NA,300,NA,NA,NA,NA,NA,NA,-97.750413,30.3512728,300
"78","Austin Regional Clinic - Hutto","151 Exchange Blvd Ste 500","WILLIAMSON","Hutto",NA,500,NA,NA,NA,NA,NA,NA,-97.5558024,30.5431969,500
"79","Austin Regional Clinic - Kelly Lane","2100 Autumn Slate Dr Ste 150","TRAVIS","Pflugerville",NA,500,NA,NA,NA,NA,NA,NA,-97.5882563,30.4674748,500
"80","Austin Regional Clinic - Kyle","4100 Everett Dr Ste 400","HAYS","Kyle",NA,300,NA,NA,NA,NA,NA,300,-97.8770849,30.0291743,600
