"Texas COVID-19 Vaccine Allocation - Week of Feb. 15 (Week 10)This list includes only first doses of vaccine.
Addresses are shipping addresses, not necessarily where vaccination is occurring.
HUB PROVIDERS",,,,,,
Provider Name,Address,City,County,"Pfizer
Doses","Moderna
Doses","Total
Doses"
Lhd Angelina County And Cities Health District (Re),503 Hill St Ste 100,Lufkin,ANGELINA,-,"2,000","2,000"
Medical Clinic Of Muleshoe,708 S 1st St,Muleshoe,BAILEY,975,-,975
A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,BASTROP,-,"1,000","1,000"
Christus Spohn Health System Beeville,1500 E Houston St,Beeville,BEE,"1,950",-,"1,950"
Community Action Health Center,301 S Hillside Dr Ste 5,Beeville,BEE,-,"1,000","1,000"
Lhd Bell County Public Health District (Re),820 N 31st Street,Temple,BELL,"3,900",-,"3,900"
Samhd Main Immunizations Clinic,210 N Mel Waiters Way,San Antonio,BEXAR,-,"1,000","1,000"
University Health System - Inpatient,4502 Medical Dr,San Antonio,BEXAR,"10,725",-,"10,725"
Wellness 360 (Adult),7703 Floyd Curl Dr,San Antonio,BEXAR,"5,850",-,"5,850"
Christus St Michael Health System,2600 Saint Michael Dr,Texarkana,BOWIE,-,"2,000","2,000"
Chi St Joseph Health College Station Hospital,1604 Rock Prairie Rd,College Station,BRAZOS,-,"3,000","3,000"
BSW Medical Center Marble Falls,810 Tx-71w,Marble Falls,BURNET,975,-,975
Ut Health Rgv Multispecialty,2106 Treasure Hills Blvd Ste 1.326,Harlingen,CAMERON,975,-,975
Ccdhhs San Benito Nursing Office,1390 W Expressway 83,San Benito,CAMERON,-,"6,000","6,000"
CHAMBERS COUNTY HEALTH DEPT ANAHUAC,102 AIRPORT RD,Anahuac,CHAMBERS,-,"1,200","1,200"
Allen Fire Department,310 Century Pkwy,Allen,COLLIN,-,"2,000","2,000"
City Of Mckinney Fire Department,2200 Taylor Burk Dr,McKinney,COLLIN,-,"2,000","2,000"
Collin County Healthcare Services,825 N Mcdonald St Ste 145,McKinney,COLLIN,-,"2,700","2,700"
Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,Plano,COLLIN,"3,900",-,"3,900"
Coryell Health Medical Clinic,1507 W Main St,Gatesville,CORYELL,975,-,975
Coon Memorial Hospital,1411 Denver Ave,Dalhart,DALLAM,975,-,975
Baylor University Med Cntr Dallas,3500 Gaston Ave,Dallas,DALLAS,"4,875",-,"4,875"
City Of Dallas,650 S Griffin Street,Dallas,DALLAS,-,"5,000","5,000"
LHD Dallas County Health And Human Services (Re),2377 N Stemmons Fwy,Dallas,DALLAS,-,"9,000","9,000"
Parkland Hospital,5200 Harry Hines Boulevard,Dallas,Dallas,"10,725",-,"10,725"
UT Southwestern Medical Center,5323 Harry Hines Blvd,Dallas,DALLAS,"10,725",-,"10,725"
Lhd Garland (City Of) Health Dept (Re),206 Carver Dr,Garland,DALLAS,-,"1,000","1,000"
LHD Denton County Public Health (RE),535 S. Loop 288,Denton,DENTON,"9,750",-,"9,750"
Dimmit Regional Hospital,704 Hospital Dr,Carrizo Springs,DIMMIT,975,-,975
Medical Center Hospital,400 W 4th,Odessa,ECTOR,"3,900",-,"3,900"
City of El Paso Fire Department,301 George Perry,El Paso,EL PASO,-,"6,000","6,000"
University Medical Center of El Paso,4815 Alameda Ave,El Paso,EL PASO,"6,825",-,"6,825"
Baylor Scott And White Medical Center - Waxahachie,2400 N. I-35e,Waxahachie,ELLIS,-,"2,500","2,500"
Falls Community Hospital & Clinic,322 Coleman St,Marlin,FALLS,975,-,975
Tmc Bonham Hospital,504 Lipscomb St,Bonham,FANNIN,975,-,975
LHD FORT BEND COUNTY HEALTH DEPARTMENT (HHS) (RE),4520 Reading Rd,Rosenberg,FORT BEND,"6,825",-,"6,825"
University Of Texas Medical Branch Hospital,301 University Blvd,Galveston,GALVESTON,"4,875",-,"4,875"
LHD Galveston County Health District (RE),9850 B Emmett F Lowry EXpy,Texas City,GALVESTON,-,"1,000","1,000"
Hill Country Memorial Hospital,1020 S State Highway 16,Fredericksburg,GILLESPIE,-,"1,200","1,200"
CHRISTUS Good Shepherd Medical Center Longview,700 E Marshall Ave,Longview,GREGG,"2,925",-,"2,925"

Chi St Lukes Health,6720 Bertner Ave,Houston,HARRIS,"1,950",-,"1,950"
HCPH Main Office,2223 West Loop South,Houston,HARRIS,-,"9,000","9,000"
Houston Health Department Immunization Bureau,8000 N Stadium Dr,Houston,HARRIS,-,"9,000","9,000"
Houston Methodist Hospital,6565 Fannin St,Houston,HARRIS,"12,675",-,"12,675"
Memorial Hermann Memorial City Medical Center,921 Gessner Rd,Houston,HARRIS,"3,900",-,"3,900"
School Of Nursing - Main Building,1851 Crosspoint Ave.,Houston,HARRIS,"3,900","1,000","4,900"
Lhd Hays County Health Department (Re),401 Broadway St Ste A,San Marcos,HAYS,"1,950","2,500","4,450"
DHR Health,5501 South McColl Road,Edinburg,HIDALGO,"6,825",-,"6,825"
Lhd Hidalgo County Health Department (Re),1304 S 25th Ave,Edinburg,HIDALGO,-,"6,000","6,000"
Ut Health Rgv Employee Health Edinburg,1210 W Schunior St,Edinburg,HIDALGO,975,-,975
Jefferson County Immunization Clinic,7933 Viterbo Rd Ste 100,Beaumont,JEFFERSON,-,"11,000","11,000"
Christus Spohn Health System Alice,2500 E Main St,Alice,JIM WELLS,975,-,975
Cleburne Fire Department,114 W. Wardville Dr.,Cleburne,JOHNSON,-,"1,000","1,000"
Christus Spohn Health System Kleberg,1311 General Cavazos Blvd,Kingsville,KLEBERG,975,-,975
Kleberg County Sheriff's Office,1500 East King,Kingsville,KLEBERG,-,"1,000","1,000"
La Salle County Regional Health Authority,247 Mars Drive,Cotulla,LA SALLE,975,-,975
Lhd Paris-Lamar Co Health Dept (Re),400 W Sherman St,Paris,LAMAR,-,"1,000","1,000"
"Emergency Hospital Systems, LLC",300 E Crockett,Cleveland,LIBERTY,975,-,975
Lhd Lubbock City Health Dept (Re),806 18th St,Lubbock,LUBBOCK,-,"5,000","5,000"
Eagle Pass Fire Department,2558 El Indio Hwy,Eagle Pass,MAVERICK,-,"1,200","1,200"
Lhd Waco-Mclennan Co Phealth Dist (Re),225 W Waco Dr,Waco,MCLENNAN,-,"1,500","1,500"
Providence Health - Providence Health Center,6901 Medical Pkwy,Waco,MCLENNAN,"1,950",-,"1,950"
Midland Memorial Hospital,400 Rosalind Redfern Grover Pkwy,Midland,MIDLAND,"4,875",-,"4,875"
CHI ST LUKES HEALTH WOODLANDS HOSP,17200 ST LUKES WAY,Conroe,MONTGOMERY,"1,950",-,"1,950"
Lone Star Family Health Center,605 S. Conroe Medical Dr,Conroe,MONTGOMERY,-,"2,000","2,000"
LHD Corsicana-Navarro Public Health District (RE),618 N Main,Corsicana,NAVARRO,-,"1,500","1,500"
Driscoll Health System,3533 S. Alameda,Corpus Christi,NUECES,975,-,975
LHD Corpus Christi-Nueces County Public Health District (RE) 1702 Horne Road,,Corpus Christi,NUECES,-,"5,000","5,000"
Parker County Hospital District,1130 Pecan Dr,Weatherford,PARKER,"1,950",-,"1,950"
LHD Amarillo DOH,1000 Martin Rd,Amarillo,POTTER,-,"5,000","5,000"
Pecos Valley Rural Health Clinic,2335 S Pigman St,Pecos,REEVES,975,-,975
Lhd Nethealth (Re),815 N Broadway Ave,Tyler,SMITH,"1,950",-,"1,950"
UT Health Science Center Tyler,11937 Us Highway 271,Tyler,SMITH,"1,950",-,"1,950"
Arlington Fire Department,620 W Division St.,Arlington,TARRANT,-,"7,000","7,000"
Tarrant Co Ph Imm Outreach,1101 S Main St Ste 1350,Fort Worth,TARRANT,-,"9,000","9,000"
Texas Health Medical Support,1100 Bridgewood,Fort Worth,TARRANT,"9,750",-,"9,750"
Lhd Abilene-Taylor County Health Department (Re),850 N 6th St,Abilene,TAYLOR,"2,925",-,"2,925"
Shannon Pharmacy,119 E. Beauregard Ave,San Angelo,TOM GREEN,"1,950",-,"1,950"
Austin Public Health,15 Waller Street,Austin,TRAVIS,-,"12,000","12,000"
Ut Health Austin (Dell Medical School),1601 Trinity Avenue,Austin,TRAVIS,"1,950",-,"1,950"
Uvalde Memorial Hospital,1025 Garner Field Rd.,Uvalde,UVALDE,975,-,975
Victoria County Public Health Department,2805 N Navarro,Victoria,VICTORIA,-,"2,000","2,000"
Washington County Ems,1875 Highway 290 W,Brenham,WASHINGTON,-,"3,000","3,000"
City Of Laredo Health Department,2600 Cedar Ave,Laredo,WEBB,-,"5,000","5,000"
Family Emergency Rooms Cedar Park,3620 E. WHITESTONE BLVD.,Cedar Park,WILLIAMSON,-,"6,000","6,000"

ADDITIONAL PROVIDERS,,,,,,
Provider Name,Address,City,County,"Pfizer
Doses","Moderna
Doses","Total
Doses"
Brookshires Pharmacy 030,2107 S Loop 256,Palestine,ANDERSON,-,100,100
Lhd Andrews City-County Health Department (Re),208 Nw 2nd St,Andrews,ANDREWS,-,200,200
Walgreens Pharmacy 09205,1309 Highway 35 N,Rockport,ARANSAS,-,200,200
Archer City RHC/Archer Family Clinic,404 EAST CHESTNUT,Archer City,ARCHER,-,100,100
King Venture PLLC,100 Trice St,Claude,ARMSTRONG,-,100,100
HEB Pharmacy 19,19337 Mcdonald St,Lytle,ATASCOSA,-,100,100
Atascosa Health Center Inc.,310 W Oaklawn Rd,Pleasanton,ATASCOSA,-,100,100
Brookshires Pharmacy 39 - Bellville,720 S Front St,Bellville,AUSTIN,-,100,100
Medina Lake Clinic,146 Laurel Vista Dr,Pipe Creek,BANDERA,-,100,100
Lscc Bastrop Hlth Cl Wmn Wlns,605 Old Austin Hwy,Bastrop,BASTROP,-,400,400
Seton Smithville Regional Hospital,1201 Hill Rd,Smithville,BASTROP,-,400,400
Seymour Hospital,200 Stadium Dr,Seymour,BAYLOR,-,100,100
HEB Pharmacy 39,2509 N Main,Belton,BELL,-,100,100
DSHSHSR 7 HQ - Temple (RE),2408 South 37th Street,Temple,BELL,-,500,500
Carvajal Pharmacy - San Antonio - 3410 Roosevelt Ave,3410 Roosevelt Ave,San Antonio,BEXAR,-,300,300
North Central Baptist Hospital,520 Madison Oak Dr,San Antonio,BEXAR,-,300,300
Wellmed Ingram,6157 NW Loop 410,San Antonio,BEXAR,-,"9,000","9,000"
Blanco Pharmacy & Wellness,316 Pecan St.,Blanco,BLANCO,-,100,100
North Blanco County Ems,105 Bill Watson Dr,Johnson City,BLANCO,-,300,300
Brookshires Pharmacy 92,900 Fm 3220,Clifton,BOSQUE,-,100,100
BRAZORIA COUNTY HEALTH DEPT ALVIN,260 GEORGE ST,Alvin,BRAZORIA,-,"1,000","1,000"
Brazoria County Health Department,434 E Mulberry St,Angleton,BRAZORIA,-,"1,000","1,000"
Utmb-Angleton Danbury Campus,132 E Hospital Dr,Angleton,BRAZORIA,-,"2,000","2,000"
Stephen F Austin Community Health Center Inc,905 N. Gulf Blvd,Freeport,BRAZORIA,-,"1,000","1,000"
Brazoria County Health Department-Lake Jackson,202 Peach St,Lake Jackson,BRAZORIA,-,"1,000","1,000"
"Brazoria County Health Dept., Pearland",2436 South Grand Blvd.,Pearland,BRAZORIA,-,"1,000","1,000"
Kelsey-Seybold Clinic - Pearland,2515 Business Center Dr,Pearland,BRAZORIA,-,"3,000","3,000"
Sweeny Community Hospital,305 N Mckinney St,Sweeny,BRAZORIA,-,500,500
Dshs Phr 9/10 Alpine,205 N Cockrell St,Alpine,BREWSTER,-,100,100
Community Action Health Center- Brooks,1302 S St Marys St Ste A,Falfurrias,BROOKS,-,100,100
Lhd Brownwood-Brown County Health Department (Re),510 E Lee St,Brownwood,BROWN,-,200,200
Brookshires Pharmacy 44,455 Hwy 36 N,Caldwell,BURLESON,-,100,100
Brookshires Pharmacy 65,16800 Sh 36 South,Somerville,BURLESON,-,100,100
Walgreens Pharmacy 11131,200 S Colorado St,Lockhart,CALDWELL,-,100,100
Ascension Seton Luling Internal Medicine Ste D,130 Hays Street,Luling,CALDWELL,-,100,100
Luling Community Health Center,111 S Laurel Ave,Luling,CALDWELL,-,100,100
Memorial Medical Center,815 N Virginia St,Port Lavaca,CALHOUN,-,100,100
Port Lavaca Clinic Associates P.A.,1200 N Virginia St,Port Lavaca,CALHOUN,-,100,100
Resourcecare Cross Plains,301 S Main St,Cross Plains,CALLAHAN,-,100,100
TEXAS DEPARTMENT OF STATE HEALTH SERVICES,601 W.SESAME DRIVE,Harlingen,CAMERON,-,"1,600","1,600"
Panhandle Family Care Llc,102 Us Highway 60,Panhandle,CARSON,-,100,100
