Texas COVID-19 Vaccine Allocation - Week of Feb. 22 (Week 11),,,,,,
"This list includes only first doses of vaccine. Per a recent label change, each vial of Pfizer vaccine contains six doses for a minimum order of 1,170 doses.",,,,,,
"Addresses are shipping addresses, not necessarily where vaccination is occurring.",,,,,,
FEMA SITES,,,,,,
,,,,Moderna,Pfizer,Total
Provider Name,Address,City,County,Doses,Doses,Doses
Dallas County Health and Human Services,Fair Park Site,Dallas,DALLAS,-,"21,060","21,060"
"Harris County Public Health NRG Stadium Site Houston HARRIS - 42,120 41,210",,,,,,
"City of Arlington AT&T Stadium Site Arlington TARRANT - 21,060 21,060",,,,,,
HUB PROVIDERS,,,,,,
,,,,Moderna,Pfizer,Total
Provider Name,Address,City,County,Doses,Doses,Doses
Lhd Angelina County And Cities Health District (Re),503 Hill St Ste 100,Lufkin,ANGELINA,"2,000",-,"2,000"
Medical Clinic Of Muleshoe,708 S 1st St,Muleshoe,BAILEY,-,"1,170","1,170"
A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,BASTROP,"2,000",-,"2,000"
Community Action Health Center,301 S Hillside Dr Ste 5,Beeville,BEE,"1,000",-,"1,000"
Christus Spohn Health System Beeville,1500 E Houston St,Beeville,BEE,-,"2,340","2,340"
Lhd Bell County Public Health District (Re),820 N 31st Street,Temple,BELL,-,"5,850","5,850"
Wellness 360 (Adult),7703 Floyd Curl Dr,San Antonio,BEXAR,-,"7,020","7,020"
University Health System - Inpatient,4502 Medical Dr,San Antonio,BEXAR,-,"12,870","12,870"
Samhd Main Immunizations Clinic,210 N Mel Waiters Way,San Antonio,BEXAR,-,"2,340","2,340"
Christus St Michael Health System,2600 Saint Michael Dr,Texarkana,BOWIE,"2,000",-,"2,000"
Chi St Joseph Health College Station Hospital,1604 Rock Prairie Rd,College Station,BRAZOS,"4,000",-,"4,000"
BSW Medical Center Marble Falls,810 Tx-71w,Marble Falls,BURNET,-,"1,170","1,170"
