Provider Name,Address,City,County,Doses
Christus Trinity Clinic Magnolia Medical Plaza,3201 South Loop 256,Palestine,ANDERSON,500
Kroger Pharmacy 431,325 E Spring St,Palestine,ANDERSON,100
Texas Department of Criminal Justice Gurney,1385 FM 3328,Palestine,ANDERSON,100
Texas Department of Criminal Justice Powledge,1400 FM 3452,Palestine,ANDERSON,100
Texas Department of Criminal Justice BETO,1391 FM 3328,Tennessee Colony,ANDERSON,100
Texas Department of Criminal Justice COFFIELD,2661 FM 2054,Tennessee Colony,ANDERSON,100
Texas Department of Criminal Justice Michael,2664 FM 2054,Tennessee Colony,ANDERSON,100
Texas Department of Criminal Justice DIBOLL,1604 First Street,Diboll,ANGELINA,100
Texas Department of Criminal Justice DUNCAN,1502 S. First Street,Diboll,ANGELINA,100
Lhd Angelina County And Cities Health District (Re),503 Hill St Ste 100,Lufkin,ANGELINA,100
Lufkin Adult Medicine Clinic,202 S Bynum St,Lufkin,ANGELINA,100
Lufkin Community Clinic-Lakeview,1316 Lakeview St,Lufkin,ANGELINA,100
Urgent Health Solutions,525 N Brentwood,Lufkin,ANGELINA,100
Texas Dads State Supportive Living Center Lufkin,6844 U.S. 69,Pollok,ANGELINA,100
Walgreens Pharmacy 10680,2702 W Wheeler Ave,Aransas Pass,ARANSAS,100
Heb Pharmacy 562,1409 Highway 35 N,Rockport,ARANSAS,100
Walgreens Pharmacy 09205,1309 Highway 35 N,Rockport,ARANSAS,100
DSHS Archer City,511 S. Cedar,Archer City,ARCHER,100
Bellville Medical Center,44 N. Cummings St.,Bellville,AUSTIN,100
Medical Clinics Of Sealy,1036 N Circle Dr,Sealy,AUSTIN,100
United Pharmacy 550,104 W 9th St,Muleshoe,BAILEY,100
HEB Pharmacy 582,104 Hasler St,Bastrop,BASTROP,100
Walgreens Pharmacy 09143,504 Highway 71 W,Bastrop,BASTROP,100
Walgreens Pharmacy 13588,4201 Highway 71 E,Bastrop,BASTROP,100
HEB Pharmacy 475,1080 Highway 290 E,Elgin,BASTROP,100
Seymour Hospital,200 Stadium Dr,Seymour,BAYLOR,200
"Careville Pediatrics, Pa",1003 N Saint Marys St,Beeville,BEE,100
Heb Pharmacy 412,100 E Houston St,Beeville,BEE,100
South Tx Family Plannng And Health Corp - Beeville,1400 W Corpus Christi St Ste 4,Beeville,BEE,200
Texas Department of Criminal Justice GARZA,4250 Hwy 202,Beeville,BEE,100
Texas Department of Criminal Justice McConnell,3001 S. Emily Dr.,Beeville,BEE,100
Walgreens Pharmacy 10689,300 E Houston St,Beeville,BEE,100
BAYLOR SCOTT AND WHITE HQ,2401 S 31st Street,Temple,BELL,1950
Kyle Communicare Health Center,2810 Dacy Ln,Kyle,BEXAR,500
15RX Pharmacy-2,"11212 State Hwy 151, Plaza-2",San Antonio,BEXAR,100
Arthur S Hernandez Md,88 Briggs St,San Antonio,BEXAR,100
Christus Santa Rosa Medical Center,2827 Babcock Rd,San Antonio,BEXAR,975
Gruesbeck Medical Clinic Cable Ranch Rd,1415 Cable Ranch Rd,San Antonio,BEXAR,100
Kindred Hospital San Antonio,3636 Medical,San Antonio,BEXAR,100
Legends Pharmacy,6601 Blanco Rd,San Antonio,BEXAR,100
Lung Diagnostics,4410 Medical Dr,San Antonio,BEXAR,100
Magenta Health,17238 Bulverde Road,San Antonio,BEXAR,100
Mission Trail Baptist Hospital,3333 Research Plz,San Antonio,BEXAR,300
Northeast Pediatric Assoc,18707 Hardy Oak Blvd Ste 225,San Antonio,BEXAR,100
"Sage Medicine, Pa",4315 Moonlight Way,San Antonio,BEXAR,100
"Steven A Davis MD, PA",7810 Louis Pasteur,San Antonio,BEXAR,200
"Stone Oak Family Doctors, PA",700 E. Sonterra Blvd,San Antonio,BEXAR,100
Surgical Arts Center,6501 Blanco Rd,San Antonio,BEXAR,100
Texas Department of Criminal Justice DOMINGUEZ,6535 Cagnon Rd,San Antonio,BEXAR,100
Texas MedClinic,13722 Embassy Row,San Antonio,BEXAR,100
The Emergency Clinic at the Pearl,2015 Broadway St.,San Antonio,BEXAR,100
The San Antonio Orthopaedic Group,400 Concord Plaza Dr Ste 300,San Antonio,BEXAR,100
The University of Texas at San Antonio,One UTSA Circle,San Antonio,BEXAR,100
Uhs Harlandale Clinic,834 W Southcross Blvd Ste 1,San Antonio,BEXAR,100
Uhs Hilliard Center,919 Locke St,San Antonio,BEXAR,200
Uhs Kenwood Clinic,302 Dora St,San Antonio,BEXAR,100
Uhs North,302 W Rector St,San Antonio,BEXAR,200
Uhs Rbg Pedi 1st Floor,903 W Martin St,San Antonio,BEXAR,300
Uhs S. Flores Clinic,7902 S Flores St,San Antonio,BEXAR,100
Uhs Southwest,2121 Sw 36th St,San Antonio,BEXAR,100
Uhs Southwest School Based Clinic,11914 Dragon Ln,San Antonio,BEXAR,100
Uhs Zarzamora Clinic,4503 S Zarzamora St,San Antonio,BEXAR,100
University Health System - Inpatient,4502 Medical Dr,San Antonio,BEXAR,975
Walgreens Pharmacy 15461,1560 Bandera Rd,San Antonio,BEXAR,100
Wellmed Management,6157 NW Loop 410,San Antonio,BEXAR,200
North Blanco County Ems,105 Bill Watson Dr,Johnson City,BLANCO,300
Brookshires Pharmacy 92,900 Fm 3220,Clifton,BOSQUE,100
Clifton Medical Clinic,201 Posey Ave,Clifton,BOSQUE,500
Brookshires Pharmacy 100,9295 Hwy 6,Meridian,BOSQUE,100
Texas Department of Criminal Justice Telford,3899 State Hwy 98,New Boston,BOWIE,100
Lhd Texarkana-Bowie Co Fam Hlth Cntr (Re),902 W 12th St,Texarkana,BOWIE,100
Kroger Pharmacy 321,3100 Hwy 35,Alvin,BRAZORIA,100
