Provider Name,Address,City,County,"Pfizer
Doses","Moderna
Doses","Total
Doses"
Bell County Public Health District,509 S 9th St,Temple,BELL,3900,0,3900
San Antonio Metro Health District,210 N Mel Waiters Way,San Antonio,BEXAR,0,9000,9000
University Health System,4502 Medical Dr,San Antonio,BEXAR,10725,0,10725
CHI St. Joseph College Station Hospital,1604 Rock Prairie Rd,College Station,BRAZOS,0,1200,1200
Cameron County Public Health,1390 W Expressway 83,San Benito,CAMERON,0,6000,6000
Dallas County Health And Human Services,2377 N Stemmons Fwy,Dallas,DALLAS,0,6000,6000
Parkland Hospital,5200 Harry Hines Blvd,Dallas,DALLAS,6825,0,6825
UT Southwestern Medical Center,5323 Harry Hines Blvd,Dallas,DALLAS,0,10000,10000
Denton County Public Health,190 N. Valley Pkwy.,Lewisville,DENTON,0,3500,3500
El Paso Fire Department,301 George Perry,El Paso,EL PASO,0,5000,5000
University Medical Center of El Paso,4815 Alameda Ave,El Paso,EL PASO,0,5000,5000
Harris County Public Health,2223 West Loop South,Houston,HARRIS,0,8000,8000
Houston Health Department,8000 N Stadium Dr,Houston,HARRIS,0,8000,8000
Houston Methodist Hospital,6565 Fannin St,Houston,HARRIS,10725,0,10725
Doctors Hospital at Renaissance,5501 South McColl Road,Edinburg,HIDALGO,0,6500,6500
Hidalgo County Health and Human Services,1304 S 25th Ave,Edinburg,HIDALGO,0,5000,5000
City of Lubbock Health Department,806 18th St,Lubbock,LUBBOCK,0,5000,5000
Fort Duncan Regional Medical Center,3333 N Foster Maldonado Blvd,Eagle Pass,MAVERICK,0,1200,1200
Waco-McLennan County Public Health District,225 W Waco Dr,Waco,MCLENNAN,0,1500,1500
Ascension Providence Hospital,6901 Medical Pkwy,Waco,MCLENNAN,0,1500,1500
Corpus Christi-Nueces County Public Health District,1702 Horne Road,Corpus Christi,NUECES,0,4000,4000
Amarillo Public Health Department,1000 Martin Rd,Amarillo,POTTER,0,5000,5000
Northeast Texas Public Health District,815 N Broadway Ave,Tyler,SMITH,0,1500,1500
UT Health Science Center Tyler,11937 Us Highway 271,Tyler,SMITH,0,1500,1500
Tarrant County Public Health,1101 S Main St Ste 1350,Fort Worth,TARRANT,0,9000,9000
Texas Health Resources,1100 Bridgewood,Fort Worth,TARRANT,5850,4200,10050
Austin Public Health,15 Waller Street,Austin,TRAVIS,0,12000,12000
City of Laredo Health Department,2600 Cedar Ave,Laredo,WEBB,0,1200,1200
Provider Name,Address,City,County,"Pfizer
Doses","Moderna
Doses","Total
Doses"
Chi St Lukes Hlth Memorial Lufkin,1201 W Frank Ave,Lufkin,ANGELINA,0,100,100
Methodist Hospital South,1905 Hwy 97 E,Jourdanton,ATASCOSA,0,300,300
Bellville Medical Center,44 N. Cummings St.,Bellville,AUSTIN,0,100,100
A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,BASTROP,0,100,100
Family Health Center Of Bastrop,3101 Highway 71 E Ste 101,Bastrop,BASTROP,0,100,100
Seton Medical Center Harker Heights,850 West Central Texas Expresswy,Harker Heights,BELL,0,100,100
Castle Hills family practice,6409 Bandera Road,San Antonio,BEXAR,0,100,100
Communicare Health Centers West,1102 Barclay St,San Antonio,BEXAR,0,100,100
Cumberland Surgical Hospital,5330 North Loop 1604 West,San Antonio,BEXAR,0,200,200
Davila Pharmacy,1423 Guadalupe,San Antonio,BEXAR,0,200,200
Dshs HSR 8 Hq - San Antonio (Re),7430 Louis Pasteur Dr,San Antonio,BEXAR,0,1000,1000
Healthsouth Riosa Rehabilitation Hospital Pharmacy,9119 Cinnamon Hl,San Antonio,BEXAR,0,300,300
Kindred Hosptial San Antonio Central,111 DALLAS STREET,San Antonio,BEXAR,0,100,100
Methodist Metropolitan Hospital,1310 McCullough Ave,San Antonio,BEXAR,0,300,300
Methodist Stone Oak Hospital,1139 E. Sonterra Blvd.,San Antonio,BEXAR,0,300,300
South Texas Spine And Surgical Hospital,18600 Hardy Oak Blvd,San Antonio,BEXAR,0,100,100
Southwest General Hospital,7400 Barlite Blvd,San Antonio,BEXAR,0,100,100
Texas Center For Infectious Disease,2303 Se Military Dr,San Antonio,BEXAR,0,200,200
The Emergency Clinic at the Pearl,2015 Broadway St.,San Antonio,BEXAR,0,100,100
