,Provider Name,Address,City,County,"Total
Doses"
2,Medical Clinic Of Muleshoe,708 S 1st St,Muleshoe,BAILEY,975
3,A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,BASTROP,1000
4,Christus Spohn Health System Beeville,1500 E Houston St,Beeville,BEE,1950
5,Community Action Health Center,301 S Hillside Dr Ste 5,Beeville,BEE,975
6,Lhd Bell County Public Health District (Re),509 S 9th St,Temple,BELL,3900
7,Samhd Main Immunizations Clinic,210 N Mel Waiters Way,San Antonio,BEXAR,9000
8,University Health System - Inpatient,4502 Medical Dr,San Antonio,BEXAR,10725
9,Wellness 360 (Adult),7703 Floyd Curl Dr,San Antonio,BEXAR,5850
10,Chi St Joseph Health College Station Hospital,1604 Rock Prairie Rd,College Station,BRAZOS,1200
11,Ccdhhs San Benito Nursing Office,1390 W Expressway 83,San Benito,CAMERON,6000
12,CHAMBERS COUNTY HEALTH DEPT ANAHUAC,102 AIRPORT RD,Anahuac,CHAMBERS,1200
13,Clay County Memorial Hospital,310 W South St,Henrietta,CLAY,975
14,Allen Fire Department,310 Century Pkwy,Allen,COLLIN,2000
15,City Of Mckinney Fire Department,2200 Taylor Burk Dr,McKinney,COLLIN,2000
16,Collin County Healthcare Services,825 N Mcdonald St Ste 145,McKinney,COLLIN,2000
17,Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,Plano,COLLIN,975
18,Coryell Health Medical Clinic,1507 W Main St,Gatesville,CORYELL,975
19,Baylor University Med Cntr Dallas,3500 Gaston Ave,Dallas,DALLAS,4875
20,LHD Dallas County Health And Human Services (Re),2377 N Stemmons Fwy,Dallas,DALLAS,9000
21,Parkland Hospital,5200 Harry Hines Blvd,Dallas,DALLAS,10725
22,UT Southwestern Medical Center,5323 Harry Hines Blvd,Dallas,DALLAS,10725
23,Lhd Garland (City Of) Health Dept (Re),206 Carver Dr,Garland,DALLAS,1000
24,LHD Denton County Public Health (RE),535 S. Loop 288,Denton,DENTON,6000
25,Dimmit Regional Hospital,704 Hospital Dr,Carrizo Springs,DIMMIT,975
26,Medical Center Hospital,400 W 4th,Odessa,ECTOR,3900
27,City of El Paso Fire Department,301 George Perry,El Paso,EL PASO,5000
28,University Medical Center of El Paso,4815 Alameda Ave,El Paso,EL PASO,5000
29,Falls Community Hospital & Clinic,322 Coleman St,Marlin,FALLS,975
30,Tmc Bonham Hospital,504 Lipscomb St,Bonham,FANNIN,975
31,LHD FORT BEND COUNTY HEALTH DEPARTMENT (HHS) (RE),4520 Reading Rd,Rosenberg,FORT BEND,5850
32,University Of Texas Medical Branch Hospital,301 University Blvd,Galveston,GALVESTON,3900
33,LHD Galveston County Health District (RE),9850 B Emmett F Lowry EXpy,Texas City,GALVESTON,1000
34,Hill Country Memorial Hospital,1020 S State Highway 16,Fredericksburg,GILLESPIE,1200
35,Chi St Lukes Health,6720 Bertner Ave,Houston,HARRIS,1950
36,HCPH Main Office,2223 West Loop South,Houston,HARRIS,9000
37,Houston Health Department Immunization Bureau,8000 N Stadium Dr,Houston,HARRIS,8200
38,Houston Methodist Hospital,6565 Fannin St,Houston,HARRIS,10725
39,Memorial Hermann Memorial City Medical Center,921 Gessner Rd,Houston,HARRIS,3900
40,School Of Nursing - Main Building,1851 Crosspoint Ave.,Houston,HARRIS,1950
41,Coon Memorial Hospital,1411 Denver Ave,Dalhart,HARTLEY,975
42,Lhd Hays County Health Department (Re),401 Broadway St Ste A,San Marcos,HAYS,1950
43,Doctors Hospital at Renaissance,5501 South McColl Road,Edinburg,HIDALGO,6825
44,Lhd Hidalgo County Health Department (Re),1304 S 25th Ave,Edinburg,HIDALGO,5000
45,Ut Health Rgv Employee Health Edinburg,1210 W Schunior St,Edinburg,HIDALGO,975
46,UTHEALTH RGV Family Health,2810 W. Expressway 83,Mercedes,HIDALGO,975
47,Lhd Jasper-Newton Co Phealth Dist (Re),139 W Lamar St,Jasper,JASPER,1600
48,Jefferson County Immunization Clinic,7933 Viterbo Rd Ste 100,Beaumont,JEFFERSON,1950
49,Christus Spohn Health System Alice,2500 E Main St,Alice,JIM WELLS,975
50,Christus Spohn Health System Kleberg,1311 General Cavazos Blvd,Kingsville,KLEBERG,975
51,Kleberg County Sheriff's Office,1500 East King,Kingsville,KLEBERG,1000
52,La Salle County Regional Health Authority,247 Mars Drive,Cotulla,LA SALLE,975
53,"Emergency Hospital Systems, LLC",300 E Crockett,Cleveland,LIBERTY,975
54,Lhd Lubbock City Health Dept (Re),806 18th St,Lubbock,LUBBOCK,5000
55,Fort Duncan Regional Medical Center - Eagle Pass,3333 N Foster Maldonado Blvd,Eagle Pass,MAVERICK,1200
56,Lhd Waco-Mclennan Co Phealth Dist (Re),225 W Waco Dr,Waco,MCLENNAN,1500
57,Providence Health - Providence Health Center,6901 Medical Pkwy,Waco,MCLENNAN,1950
58,Midland Memorial Hospital,400 Rosalind Redfern Grover Pkwy,Midland,MIDLAND,4875
59,Lone Star Family Health Center,605 S. Conroe Medical Dr,Conroe,MONTGOMERY,2000
60,Corpus Christi Nueces Co Pub Hlth Dis,1702 Horne Road,Corpus Christi,NUECES,5000
61,Driscoll Health System,3533 S. Alameda,Corpus Christi,NUECES,975
62,Parker County Hospital District,1130 Pecan Dr,Weatherford,PARKER,1950
63,LHD Amarillo DOH,1000 Martin Rd,Amarillo,POTTER,5000
64,Pecos Valley Rural Health Clinic,2335 S Pigman St,Pecos,REEVES,975
65,Lhd Nethealth (Re),815 N Broadway Ave,Tyler,SMITH,1500
66,UT Health Science Center Tyler,11937 Us Highway 271,Tyler,SMITH,1950
67,Arlington Fire Department,620 W Division St.,Arlington,TARRANT,5000
68,Tarrant Co Ph Imm Outreach,1101 S Main St Ste 1350,Fort Worth,TARRANT,9000
69,Texas Health Medical Support,1100 Bridgewood,Fort Worth,TARRANT,9750
70,Lhd Abilene-Taylor County Health Department (Re),850 N 6th St,Abilene,TAYLOR,1200
71,Shannon Pharmacy,119 E. Beauregard Ave,San Angelo,TOM GREEN,1950
72,Austin Public Health,15 Waller Street,Austin,TRAVIS,12000
73,Ut Health Austin (Dell Medical School),1601 Trinity Avenue,Austin,TRAVIS,1950
74,Uvalde Memorial Hospital,1025 Garner Field Rd.,Uvalde,UVALDE,975
75,Victoria County Public Health Department,2805 N Navarro,Victoria,VICTORIA,1000
76,Washington County Ems,1875 Highway 290 W,Brenham,WASHINGTON,2000
77,City Of Laredo Health Department,2600 Cedar Ave,Laredo,WEBB,1200
78,Family Emergency Rooms Cedar Park,3620 E. WHITESTONE BLVD.,Cedar Park,WILLIAMSON,6000
81,Lhd Andrews City-County Health Department (Re),208 Nw 2nd St,Andrews,ANDREWS,400
82,DSHS Archer City,511 S. Cedar,Archer City,ARCHER,100
83,Lytle Community Health Center,19010 Priest BLVD,Lytle,ATASCOSA,100
84,Atascosa Health Center Inc.,310 W Oaklawn Rd,Pleasanton,ATASCOSA,100
85,DSHS Bellville Clinic,602 E Hacienda St,Bellville,AUSTIN,100
86,Bastrop Family Practice,275 Jackson St,Bastrop,BASTROP,100
87,Lscc Bastrop Hlth Cl Wmn Wlns,605 Old Austin Hwy,Bastrop,BASTROP,100
88,Walmart Pharmacy 1042,488 Highway 71 W,Bastrop,BASTROP,300
89,Seymour Hospital Rural Health Clinic,201 Stadium Dr,Seymour,BAYLOR,975
90,Texas Department of Criminal Justice GARZA,4250 Hwy 202,Beeville,BEE,200
91,Community Clinic At Santa Fe,600 S 25th St,Temple,BELL,100
92,Lone Star Circle Of Care At Temple,2112 Sw H K Dodgen Loop Ste 110,Temple,BELL,100
93,Centro Med La Paloma,7404 W Us Highway 90 Bldg 37,San Antonio,BEXAR,100
94,Centromed Indian Creek Clinic,5439 Ray Ellison Blvd,San Antonio,BEXAR,100
95,Centromed Palo Alto Clinic,9011 Poteet Jourdanton Fwy,San Antonio,BEXAR,100
96,Dshs HSR 8 Hq - San Antonio (Re),7430 Louis Pasteur Dr,San Antonio,BEXAR,700
97,Centromed Maria Flores Castro Clinic,7315 S. Loop 1604 W.,Somerset,BEXAR,100
98,BRAZORIA COUNTY HEALTH DEPT ALVIN,260 GEORGE ST,Alvin,BRAZORIA,700
99,Angleton Primary Care,2020 East Mulberry St,Angleton,BRAZORIA,100
