Provider_Name,Address,City,County,Doses_W7
Medical Clinic Of Muleshoe,708 S 1st St,Muleshoe,BAILEY,975
A+ Life Style Medical Group,815 Hwy 71 W,Bastrop,BASTROP,1000
Christus Spohn Health System Beeville,1500 E Houston St,Beeville,BEE,1950
Community Action Health Center,301 S Hillside Dr Ste 5,Beeville,BEE,975
Lhd Bell County Public Health District (Re),509 S 9th St,Temple,BELL,3900
Samhd Main Immunizations Clinic,210 N Mel Waiters Way,San Antonio,BEXAR,9000
University Health System - Inpatient,4502 Medical Dr,San Antonio,BEXAR,10725
Wellness 360 (Adult),7703 Floyd Curl Dr,San Antonio,BEXAR,5850
Chi St Joseph Health College Station Hospital,1604 Rock Prairie Rd,College Station,BRAZOS,1200
BSW Medical Center Marble Falls,810 Tx-71w,Marble Falls,BURNET,975
Ccdhhs San Benito Nursing Office,1390 W Expressway 83,San Benito,CAMERON,6000
CHAMBERS COUNTY HEALTH DEPT ANAHUAC,102 AIRPORT RD,Anahuac,CHAMBERS,1200
Clay County Memorial Hospital,310 W South St,Henrietta,CLAY,975
Allen Fire Department,310 Century Pkwy,Allen,COLLIN,2000
City Of Mckinney Fire Department,2200 Taylor Burk Dr,McKinney,COLLIN,2000
Collin County Healthcare Services,825 N Mcdonald St Ste 145,McKinney,COLLIN,2700
Baylor Scott & White Medical Center - Plano,4700 Alliance Blvd,Plano,COLLIN,3900
Coryell Health Medical Clinic,1507 W Main St,Gatesville,CORYELL,975
Coon Memorial Hospital,1411 Denver Ave,Dalhart,DALLAM,975
Baylor University Med Cntr Dallas,3500 Gaston Ave,Dallas,DALLAS,4875
Kay Bailey Hutchinson Convention Center,650 S Griffin Street,Dallas,DALLAS,5000
LHD Dallas County Health And Human Services (Re),2377 N Stemmons Fwy,Dallas,DALLAS,9000
Parkland Hospital,5200 Harry Hines Blvd,Dallas,DALLAS,10725
UT Southwestern Medical Center,5323 Harry Hines Blvd,Dallas,DALLAS,10725
Lhd Garland (City Of) Health Dept (Re),206 Carver Dr,Garland,DALLAS,1000
LHD Denton County Public Health (RE),535 S. Loop 288,Denton,DENTON,9950
Dimmit Regional Hospital,704 Hospital Dr,Carrizo Springs,DIMMIT,975
Medical Center Hospital,400 W 4th,Odessa,ECTOR,3900
City of El Paso Fire Department,301 George Perry,El Paso,EL PASO,5000
University Medical Center of El Paso,4815 Alameda Ave,El Paso,EL PASO,6825
Falls Community Hospital & Clinic,322 Coleman St,Marlin,FALLS,975
Tmc Bonham Hospital,504 Lipscomb St,Bonham,FANNIN,975
LHD FORT BEND COUNTY HEALTH DEPARTMENT (HHS) (RE),4520 Reading Rd,Rosenberg,FORT BEND,6825
University Of Texas Medical Branch Hospital,301 University Blvd,Galveston,GALVESTON,4875
LHD Galveston County Health District (RE),9850 B Emmett F Lowry EXpy,Texas City,GALVESTON,1000
Hill Country Memorial Hospital,1020 S State Highway 16,Fredericksburg,GILLESPIE,1200
CHRISTUS Good Shepherd Medical Center Longview,700 E Marshall Ave,Longview,GREGG,2925
Chi St Lukes Health,6720 Bertner Ave,Houston,HARRIS,1950
HCPH Main Office,2223 West Loop South,Houston,HARRIS,9000
Houston Health Department Immunization Bureau,8000 N Stadium Dr,Houston,HARRIS,9000
Houston Methodist Hospital,6565 Fannin St,Houston,HARRIS,12675
Memorial Hermann Texas Medical Center,6411 Fannin St,Houston,HARRIS,3900
School Of Nursing - Main Building,1851 Crosspoint Ave.,Houston,HARRIS,3900
Lhd Hays County Health Department (Re),401 Broadway St Ste A,San Marcos,HAYS,1950
Doctors Hospital at Renaissance,5501 South McColl Road,Edinburg,HIDALGO,6825
Lhd Hidalgo County Health Department (Re),1304 S 25th Ave,Edinburg,HIDALGO,5000
Ut Health Rgv Employee Health Edinburg,1210 W Schunior St,Edinburg,HIDALGO,975
UTHEALTH RGV Family Health,2810 W. Expressway 83,Mercedes,HIDALGO,975
Lhd Jasper-Newton Co Phealth Dist (Re),139 W Lamar St,Jasper,JASPER,1600
Jefferson County Immunization Clinic,7933 Viterbo Rd Ste 100,Beaumont,JEFFERSON,1950
Christus Spohn Health System Alice,2500 E Main St,Alice,JIM WELLS,975
Christus Spohn Health System Kleberg,1311 General Cavazos Blvd,Kingsville,KLEBERG,975
Kleberg County Sheriff's Office,1500 East King,Kingsville,KLEBERG,1000
La Salle County Regional Health Authority,247 Mars Drive,Cotulla,LA SALLE,975
"Emergency Hospital Systems, LLC",300 E Crockett,Cleveland,LIBERTY,975
Lhd Lubbock City Health Dept (Re),806 18th St,Lubbock,LUBBOCK,5000
Eagle Pass Fire Department,2558 El Indio Hwy,Eagle Pass,MAVERICK,1200
Lhd Waco-Mclennan Co Phealth Dist (Re),225 W Waco Dr,Waco,MCLENNAN,1500
Providence Health - Providence Health Center,6901 Medical Pkwy,Waco,MCLENNAN,1950
Midland Memorial Hospital,400 Rosalind Redfern Grover Pkwy,Midland,MIDLAND,4875
CHI ST LUKES HEALTH WOODLANDS HOSP,17200 ST LUKES WAY,Conroe,MONTGOMERY,1950
Lone Star Family Health Center,605 S. Conroe Medical Dr,Conroe,MONTGOMERY,2000
LHD Corsicana-Navarro Public Health District (RE),618 N Main,Corsicana,NAVARRO,1500
Corpus Christi Nueces Co Pub Hlth Dis,1702 Horne Road,Corpus Christi,NUECES,5000
Driscoll Health System,3533 S. Alameda,Corpus Christi,NUECES,975
Parker County Hospital District,1130 Pecan Dr,Weatherford,PARKER,1950
LHD Amarillo DOH,1000 Martin Rd,Amarillo,POTTER,5000
Pecos Valley Rural Health Clinic,2335 S Pigman St,Pecos,REEVES,975
Lhd Nethealth (Re),815 N Broadway Ave,Tyler,SMITH,1500
UT Health Science Center Tyler,11937 Us Highway 271,Tyler,SMITH,1950
Arlington Fire Department,620 W Division St.,Arlington,TARRANT,7000
Tarrant Co Ph Imm Outreach,1101 S Main St Ste 1350,Fort Worth,TARRANT,9000
Texas Health Medical Support,1100 Bridgewood,Fort Worth,TARRANT,9750
Hendrick Medical Center,1900 Pine St,Abilene,TAYLOR,2925
Shannon Pharmacy,119 E. Beauregard Ave,San Angelo,TOM GREEN,1950
Austin Public Health,15 Waller Street,Austin,TRAVIS,12000
Ut Health Austin (Dell Medical School),1601 Trinity Avenue,Austin,TRAVIS,1950
Uvalde Memorial Hospital,1025 Garner Field Rd.,Uvalde,UVALDE,975
Victoria County Public Health Department,2805 N Navarro,Victoria,VICTORIA,1500
Washington County Ems,1875 Highway 290 W,Brenham,WASHINGTON,2000
City Of Laredo Health Department,2600 Cedar Ave,Laredo,WEBB,1200
Family Emergency Rooms Cedar Park,3620 E. WHITESTONE BLVD.,Cedar Park,WILLIAMSON,8000
Lhd Andrews City-County Health Department (Re),208 Nw 2nd St,Andrews,ANDREWS,400
Lhd Angelina County And Cities Health District (Re),503 Hill St Ste 100,Lufkin,ANGELINA,600
Centromed Sap Culebra,9793 Culebra Rd Ste 105,San Antonio,BEXAR,100
Centromed Sarah E. Davidson,1 Haven For Hope Way,San Antonio,BEXAR,100
Holy Savior Hospice and Palliative Care,3201 Cherry Ridge,San Antonio,BEXAR,100
Laurel Ridge Treatment Center,17720 Corporate Woods Dr,San Antonio,BEXAR,600
Goodall Witcher Hospital,101 Posey Ave Bldg 1,Clifton,BOSQUE,100
Lhd Texarkana-Bowie Co Fam Hlth Cntr (Re),902 W 12th St,Texarkana,BOWIE,400
BRAZORIA COUNTY HEALTH DEPT ALVIN,260 GEORGE ST,Alvin,BRAZORIA,700
Brazoria County Health Department,434 E Mulberry St,Angleton,BRAZORIA,700
Ron Jackson State Juvenile Correctional Complex,611 Fm 3254 Old Bangs Road,Brownwood,BROWN,100
Burleson St Joseph Health Center,1101 Woodson Dr,Caldwell,BURLESON,100
Seton Edgar B Davis Hospital,130 Hays St,Luling,CALDWELL,200
Brownsville Community Health Center,191 E. Price Rd,Brownsville,CAMERON,100
Harlingen Medical Center,5501 S Expressway 77,Harlingen,CAMERON,100
Su Clinica - Harlingen Adults,1706 Treasure Hills Blvd,Harlingen,CAMERON,100
Su Clinica Women's Health Center- Harlingen,1706 Treasure Hills Blvd,Harlingen,CAMERON,100
