Provider_Name,Address,County,City,Doses_W1,Doses_W2,Doses_W3,Doses_W4,Doses_W5,Doses_W6,Sum,lon,lat
15RX Pharmacy-2,"11212 State Hwy 151, Plaza-2",BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100,-98.68906403,29.45754433
"23330 Emergency Center, LLC",23330 US 59 North,HARRIS,Kingwood,NA,NA,100,NA,NA,NA,100,-95.24996185,30.05929375
38th Street Pharmacy,711 WEST 38TH STREET C-3,TRAVIS,Austin,NA,200,NA,NA,NA,NA,200,-97.7409668,30.30357552
A&P Pharmacy DBA Roanoke Pharmacy,207 E Byron Nelson Blvd,DENTON,Roanoke,NA,NA,NA,100,NA,NA,100,-97.2257259,33.0039542
A+ Life Style Medical Group,815 Hwy 71 W,BASTROP,Bastrop,NA,NA,NA,NA,100,1000,1100,-97.37531281,30.11062241
Abilene Diagnostic Clinic - Abilene - Antilley,1665 Antilley Road,TAYLOR,Abilene,NA,400,NA,NA,NA,NA,400,-99.7439662,32.3726821
Abilene Regional Medical Center,6250 Hwy 83/84 At Antilley Rd,TAYLOR,Abilene,NA,NA,NA,NA,100,NA,100,-99.73314,32.44874
ABULATORY STRATEGIES PHYSICIAN GROUP,4046 Dowlen Road,JEFFERSON,Beaumont,NA,500,NA,NA,NA,NA,500,-94.1561199,30.1245939
Accelhealth Stephenville,135 River North Blvd,ERATH,Stephenville,NA,NA,NA,NA,100,NA,100,-98.2318292,32.2275385
Access Health Clinic,6402 Louetta Rd Ste 140,HARRIS,Spring,NA,500,NA,NA,NA,NA,500,-95.51578522,30.02541924
Acres Home Health Center,818 Ringold St,HARRIS,Houston,NA,100,NA,NA,NA,NA,100,-95.4189604,29.8751201
"AD Hospital East, LLC",12950 East Frwy,HARRIS,Houston,NA,NA,500,NA,100,NA,600,-95.2004521,29.7707261
Adoue Community Health Network,1111 West Adoue,BRAZORIA,Alvin,NA,100,NA,NA,NA,NA,100,-95.25608826,29.42006111
Advanced Pain Care,2000 S Mays Street,WILLIAMSON,Round Rock,NA,200,NA,NA,NA,NA,200,-97.67532349,30.49091911
Ahf Pharmacy,7777 Forest Lane.,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100,-96.7727356,32.90956497
AIRLINE DOCTORS FAMILY AND PEDIATRIC CLINICS,5990 airline drive,HARRIS,Houston,NA,NA,NA,100,NA,NA,100,-95.38465118,29.85832405
Albertsons Pharmacy,2200 N Yarbrough,EL PASO,El Paso,NA,NA,NA,200,NA,NA,200,-106.3385544,31.78039932
Albertsons Pharmacy 0716,200 West Crawford Street,GRAYSON,Denison,NA,NA,NA,100,NA,NA,100,-96.5377636,33.752101
Albertsons Pharmacy 4133,427 E FM 1382,DALLAS,Cedar Hill,NA,100,NA,NA,NA,NA,100,-96.9377386,32.5930177
Albertsons Pharmacy 671,3317 N Midland Dr,MIDLAND,Midland,NA,NA,NA,100,NA,NA,100,-93.7465242,36.3723342
Albertsons Pharmacy 674,4706 N Midkiff Road,MIDLAND,Midland,NA,NA,NA,100,NA,NA,100,-93.7466432,36.3700259
Albertsons Pharmacy 676,2751 N County Rd W,ECTOR,Odessa,NA,NA,NA,100,NA,NA,100,-93.7692434,36.3699701
Albertsons Pharmacy 677,1350 E 8th St,ECTOR,Odessa,NA,NA,NA,200,NA,NA,200,-93.8335286,36.3694888
Albertsons Pharmacy 678,3121 Sunset Dr,TOM GREEN,San Angelo,NA,NA,NA,100,NA,NA,100,-93.8443781,36.1903532
Aldine Health Center,4755 Aldine Mail Route Rd,HARRIS,Houston,NA,NA,NA,NA,100,NA,100,-93.861653,36.0516278
Aledo Family Medicine,317 FM 1187 North,PARKER,Aledo,NA,500,NA,NA,NA,NA,500,-93.8630905,36.0504117
Allen Fire Department,310 Century Pkwy,COLLIN,Allen,NA,200,NA,300,NA,2000,2500,-93.9358085,36.0236526
Allison Cancer Center,400 Rosalind Grover Pkwy,MIDLAND,Midland,NA,NA,NA,100,NA,NA,100,-93.9358439,35.9039679
